Model,Development R2,Final Test R2,R2 Generalization Gap,Development MAE,Final Test MAE,Final Test RMSE
Regularized Random Forest,0.6323040285463958,0.7119966933871886,-0.07969266484079285,27.571211681843113,25.48725518559767,88.47569183897816
Linear Regression,0.7540436093670717,0.5479518409302669,0.20609176843680477,41.34006522578556,40.31162814750567,110.84537648089184
Pruned Decision Tree,0.6935864974443826,0.45285820278833977,0.24072829465604284,26.844972045181773,26.71924967533441,121.94813886311775
